timestamp	name	source_path	destination_path	size_kb_before	status	note
2026-03-04 01:25:17	20260118_vcf_all_w5000_t120	/big8_disk/liaoyoyo2001/InterSubMod_runs/output/20260118_vcf_all_w5000_t120	/bip8_disk/liaoyoyo2001/InterSubMod_out/output/20260118_vcf_all_w5000_t120	8414552	moved	
2026-03-04 01:25:17	20260118_vcf_chr19_verif_t120	/big8_disk/liaoyoyo2001/InterSubMod_runs/output/20260118_vcf_chr19_verif_t120	/bip8_disk/liaoyoyo2001/InterSubMod_out/output/20260118_vcf_chr19_verif_t120	16	moved	
2026-03-04 01:25:17	20260118_vcf_chr19_verif_t120_1	/big8_disk/liaoyoyo2001/InterSubMod_runs/output/20260118_vcf_chr19_verif_t120_1	/bip8_disk/liaoyoyo2001/InterSubMod_out/output/20260118_vcf_chr19_verif_t120_1	252	moved	
2026-03-04 01:25:17	20260119_vcf_chr19_verif_t120	/big8_disk/liaoyoyo2001/InterSubMod_runs/output/20260119_vcf_chr19_verif_t120	/bip8_disk/liaoyoyo2001/InterSubMod_out/output/20260119_vcf_chr19_verif_t120	252	moved	
2026-03-04 01:25:17	PPT	/big8_disk/liaoyoyo2001/InterSubMod_runs/output/PPT	/bip8_disk/liaoyoyo2001/InterSubMod_out/output/PPT	1848	moved	
2026-03-04 01:25:17	advanced_analysis_20260119	/big8_disk/liaoyoyo2001/InterSubMod_runs/output/advanced_analysis_20260119	/bip8_disk/liaoyoyo2001/InterSubMod_out/output/advanced_analysis_20260119	68	moved	
2026-03-04 01:25:17	bip8_disk_output	/big8_disk/liaoyoyo2001/InterSubMod_runs/output/bip8_disk_output	-	0	skip	symlink
2026-03-04 01:25:17	deep_analysis_20260119	/big8_disk/liaoyoyo2001/InterSubMod_runs/output/deep_analysis_20260119	/bip8_disk/liaoyoyo2001/InterSubMod_out/output/deep_analysis_20260119	176	moved	
2026-03-04 01:25:17	f1_evaluation_20260119	/big8_disk/liaoyoyo2001/InterSubMod_runs/output/f1_evaluation_20260119	/bip8_disk/liaoyoyo2001/InterSubMod_out/output/f1_evaluation_20260119	12	moved	
2026-03-04 01:25:18	methylation_significance_followup	/big8_disk/liaoyoyo2001/InterSubMod_runs/output/methylation_significance_followup	/bip8_disk/liaoyoyo2001/InterSubMod_out/output/methylation_significance_followup	56	moved	
2026-03-04 01:25:18	ml_feature_exploration	/big8_disk/liaoyoyo2001/InterSubMod_runs/output/ml_feature_exploration	/bip8_disk/liaoyoyo2001/InterSubMod_out/output/ml_feature_exploration	19384	moved	
2026-03-04 01:25:18	test_log_info	/big8_disk/liaoyoyo2001/InterSubMod_runs/output/test_log_info	/bip8_disk/liaoyoyo2001/InterSubMod_out/output/test_log_info	252	moved	
2026-03-04 01:25:18	tmp_meth_annot_test	/big8_disk/liaoyoyo2001/InterSubMod_runs/output/tmp_meth_annot_test	/bip8_disk/liaoyoyo2001/InterSubMod_out/output/tmp_meth_annot_test	93984	moved	
